Persona6, 22:22:16.915331, , Informatica, 22:22:16.915352, DEFIDER, 22:22:45.217768
Persona431, 22:22:17.024526, , Mecanica, 22:24:01.528185, Fisica, 22:26:58.014504
Persona402, 22:22:17.018539, , Quimica, 22:24:01.401457, Fisica, 22:26:58.009610
Persona211, 22:22:16.977670, , Informatica, 22:23:57.283391, Fisica, 22:26:58.002933
Persona439, 22:22:17.026179, , Mecanica, 22:24:09.582625, Fisica, 22:26:58.019920
Persona436, 22:22:17.025550, , Mecanica, 22:24:09.561150, Fisica, 22:26:58.021933
Persona376, 22:22:17.013062, , Informatica, 22:26:37.826134, Matematicas, 22:26:52.878831
Persona370, 22:22:17.011693, , Informatica, 22:26:27.808448, Matematicas, 22:26:42.828985
Persona368, 22:22:17.011277, , Informatica, 22:26:27.805797, Matematicas, 22:26:42.829783
Persona385, 22:22:17.015069, , Informatica, 22:26:57.888711, Mecanica, 22:27:12.933726
Persona298, 22:22:16.995384, , Minas, 22:25:17.658093, Quimica, 22:27:13.999922
Persona286, 22:22:16.992850, , Minas, 22:25:07.630525, Quimica, 22:27:13.997338
Persona74, 22:22:16.945716, , Matematicas, 22:22:16.945746, Quimica, 22:27:13.996028
Persona215, 22:22:16.978439, , Informatica, 22:24:07.316609, Fisica, 22:27:12.044228
Persona479, 22:22:17.034920, , Mecanica, 22:24:25.655566, Fisica, 22:27:12.059995
Persona450, 22:22:17.028519, , Quimica, 22:24:17.459701, Fisica, 22:27:12.048056
Persona217, 22:22:16.978831, , Minas, 22:24:17.425113, Fisica, 22:27:12.053223
Persona466, 22:22:17.032154, , Quimica, 22:24:25.492487, Fisica, 22:27:12.056533
Persona306, 22:22:16.997071, , Informatica, 22:25:37.647164, Quimica, 22:27:22.017762
Persona56, 22:22:16.938851, , Matematicas, 22:22:16.938877, Quimica, 22:27:22.015921
Persona1, 22:22:16.912215, , Matematicas, 22:22:16.912601, Quimica, 22:27:22.014643
Persona392, 22:22:17.016489, , Informatica, 22:27:07.917382, Mecanica, 22:27:22.954983
Persona461, 22:22:17.031095, , Minas, 22:27:18.000071, DEFIDER, 22:27:33.051221
Persona394, 22:22:17.016907, , Minas, 22:26:57.932639, Matematicas, 22:27:12.986991
Persona405, 22:22:17.019173, , Minas, 22:26:57.937670, Matematicas, 22:27:12.988238
Persona363, 22:22:17.010292, , Informatica, 22:26:17.787669, Quimica, 22:27:30.026492
Persona311, 22:22:16.998648, , Informatica, 22:25:47.677926, Quimica, 22:27:30.023678
Persona331, 22:22:17.002940, , Minas, 22:25:57.788725, Quimica, 22:27:30.025036
Persona409, 22:22:17.019984, , Informatica, 22:27:17.946305, Mecanica, 22:27:32.982592
Persona473, 22:22:17.033619, , Minas, 22:27:28.039003, Quimica, 22:27:43.071013
Persona369, 22:22:17.011485, , Minas, 22:26:27.865079, Quimica, 22:27:38.043807
Persona384, 22:22:17.014864, , Minas, 22:26:47.913444, Quimica, 22:27:38.044882
Persona48, 22:22:16.934741, , Matematicas, 22:22:16.935026, Fisica, 22:27:26.086933
Persona288, 22:22:16.993260, , Minas, 22:25:17.650436, Fisica, 22:27:26.084531
Persona491, 22:22:17.037417, , Quimica, 22:24:41.555909, Fisica, 22:27:26.079806
Persona278, 22:22:16.991112, , Informatica, 22:25:07.531072, Fisica, 22:27:26.082869
Persona300, 22:22:16.995764, , Informatica, 22:25:27.600198, Fisica, 22:27:26.089740
Persona290, 22:22:16.993754, , Informatica, 22:25:27.584658, Fisica, 22:27:40.115686
Persona309, 22:22:16.997992, , Minas, 22:25:27.703720, Fisica, 22:27:40.120111
Persona316, 22:22:16.999859, , Minas, 22:25:37.737524, Fisica, 22:27:40.122118
Persona310, 22:22:16.998300, , Informatica, 22:25:47.668327, Fisica, 22:27:40.124135
Persona325, 22:22:17.001680, , Minas, 22:25:47.759661, Fisica, 22:27:40.126241
Persona76, 22:22:16.946562, , DEFIDER, 22:22:18.963249, Minas, 22:27:48.124647
Persona4, 22:22:16.914274, , Mecanica, 22:22:16.914303, Minas, 22:27:48.105811
Persona428, 22:22:17.023887, , Informatica, 22:27:38.010299, Quimica, 22:27:53.046557
Persona490, 22:22:17.037212, , Minas, 22:27:38.071966, Mecanica, 22:27:53.108870
Persona59, 22:22:16.939798, , DEFIDER, 22:22:18.961669, Minas, 22:27:58.149553
Persona41, 22:22:16.931740, , Fisica, 22:22:16.931830, Minas, 22:27:58.159649
Persona429, 22:22:17.024103, , Informatica, 22:27:48.029117, Quimica, 22:28:03.076871
Persona413, 22:22:17.020825, , Minas, 22:27:07.971581, Fisica, 22:27:54.146216
Persona391, 22:22:17.016291, , Minas, 22:26:47.917643, Fisica, 22:27:54.141797
Persona378, 22:22:17.013569, , Informatica, 22:26:37.833546, Fisica, 22:27:54.139307
Persona440, 22:22:17.026365, , Minas, 22:27:07.985756, Fisica, 22:27:54.147329
Persona386, 22:22:17.015280, , Informatica, 22:26:57.894238, Fisica, 22:27:54.144269
Persona87, 22:22:16.949241, , Quimica, 22:22:16.949262, Matematicas, 22:27:55.086480
Persona420, 22:22:17.022246, , Informatica, 22:27:27.963681, Matematicas, 22:27:43.004988
Persona485, 22:22:17.036157, , Minas, 22:27:28.042518, Matematicas, 22:27:43.069499
Persona36, 22:22:16.929928, , Matematicas, 22:22:16.929949, Minas, 22:28:08.181126
Persona20, 22:22:16.923332, , Fisica, 22:22:16.923361, Minas, 22:28:08.168917
Persona497, 22:22:17.038746, , Minas, 22:27:38.086825, Fisica, 22:28:08.196075
Persona423, 22:22:17.022876, , Informatica, 22:27:27.977735, Fisica, 22:28:08.193502
Persona435, 22:22:17.025339, , Informatica, 22:27:48.036848, Fisica, 22:28:08.198444
Persona95, 22:22:16.951229, , Quimica, 22:22:16.951250, Fisica, 22:28:08.197332
Persona412, 22:22:17.020618, , Informatica, 22:27:17.958151, Fisica, 22:28:08.178831
Persona174, 22:22:16.970531, , DEFIDER, 22:22:25.012076, Minas, 22:28:18.198379
Persona178, 22:22:16.971233, , DEFIDER, 22:22:25.013420, Minas, 22:28:18.196842
Persona446, 22:22:17.027656, , Informatica, 22:28:08.106369, Mecanica, 22:28:23.138202
Persona102, 22:22:16.953421, , Quimica, 22:22:16.953554, Minas, 22:28:28.211134
Persona86, 22:22:16.948948, , Mecanica, 22:22:16.948968, Minas, 22:28:28.219429
Persona452, 22:22:17.029174, , Informatica, 22:28:18.118644, Quimica, 22:28:33.153556
Persona463, 22:22:17.031531, , Informatica, 22:28:28.146534, DEFIDER, 22:28:43.165672
Persona468, 22:22:17.032572, , Informatica, 22:28:28.152773, DEFIDER, 22:28:43.167258
Persona442, 22:22:17.026806, , Informatica, 22:27:58.077025, Matematicas, 22:28:13.100105
Persona444, 22:22:17.027220, , Informatica, 22:28:08.094848, Matematicas, 22:28:23.139628
Persona437, 22:22:17.025757, , Informatica, 22:27:58.071422, Matematicas, 22:28:13.098615
Persona291, 22:22:16.993945, , DEFIDER, 22:22:31.073782, Minas, 22:28:38.246155
Persona205, 22:22:16.976491, , DEFIDER, 22:22:27.024599, Minas, 22:28:38.235144
Persona118, 22:22:16.957453, , Fisica, 22:22:16.957473, Mecanica, 22:28:43.222505
Persona130, 22:22:16.960357, , Fisica, 22:22:16.960381, Quimica, 22:28:43.223895
Persona69, 22:22:16.943556, , Fisica, 22:22:16.943580, DEFIDER, 22:28:57.223905
Persona308, 22:22:16.997705, , DEFIDER, 22:22:31.079242, Minas, 22:28:48.268926
Persona148, 22:22:16.965213, , Fisica, 22:22:16.965387, Minas, 22:28:48.278634
Persona5, 22:22:16.914890, , DEFIDER, 22:22:16.914915, Informatica, 22:28:58.227989
Persona7, 22:22:16.915939, , Quimica, 22:22:16.915965, Informatica, 22:28:58.234285
Persona427, 22:22:17.023698, , DEFIDER, 22:22:39.156964, Minas, 22:28:58.300227
Persona398, 22:22:17.017741, , DEFIDER, 22:22:37.145090, Minas, 22:28:58.290991
Persona469, 22:22:17.032786, , Informatica, 22:28:38.171088, Fisica, 22:28:53.224316
Persona494, 22:22:17.038103, , Informatica, 22:28:48.201324, Mecanica, 22:29:03.241204
Persona83, 22:22:16.948192, , Fisica, 22:22:16.948212, Mecanica, 22:28:57.228495
Persona3, 22:22:16.913622, , Matematicas, 22:22:16.913930, Informatica, 22:29:08.267240
Persona11, 22:22:16.918175, , Quimica, 22:22:16.918202, Informatica, 22:29:08.255952
Persona110, 22:22:16.955686, , Mecanica, 22:22:32.985793, Minas, 22:29:08.327389
Persona142, 22:22:16.963728, , Matematicas, 22:22:16.963742, Minas, 22:29:08.320846
Persona45, 22:22:16.933256, , Fisica, 22:22:16.933281, Matematicas, 22:28:57.226839
Persona128, 22:22:16.959616, , Fisica, 22:22:16.959631, Matematicas, 22:28:43.225761
Persona65, 22:22:16.941713, , Fisica, 22:22:16.941735, Matematicas, 22:28:57.225594
Persona106, 22:22:16.954618, , Fisica, 22:22:16.954642, Matematicas, 22:28:43.227469
Persona43, 22:22:16.932676, , Matematicas, 22:22:16.932697, Informatica, 22:29:18.281810
Persona121, 22:22:16.958139, , DEFIDER, 22:22:22.985491, Informatica, 22:29:18.285407
Persona496, 22:22:17.038500, , DEFIDER, 22:22:43.197853, Minas, 22:29:18.355012
Persona116, 22:22:16.956877, , Mecanica, 22:22:32.991468, Minas, 22:29:18.344910
Persona246, 22:22:16.984646, , DEFIDER, 22:22:29.060353, Informatica, 22:29:28.327736
Persona109, 22:22:16.955357, , Quimica, 22:22:16.955371, Informatica, 22:29:28.318223
Persona175, 22:22:16.970694, , Quimica, 22:22:41.002922, Minas, 22:29:28.371013
Persona481, 22:22:17.035327, , DEFIDER, 22:22:43.191678, Minas, 22:29:28.368991
Persona265, 22:22:16.988480, , DEFIDER, 22:22:29.063449, Informatica, 22:29:38.333601
Persona299, 22:22:16.995582, , DEFIDER, 22:22:31.078401, Informatica, 22:29:38.335735
Persona141, 22:22:16.963492, , Mecanica, 22:22:41.024006, Minas, 22:29:38.393900
Persona181, 22:22:16.971802, , Quimica, 22:22:41.008940, Minas, 22:29:38.383204
Persona276, 22:22:16.990671, , DEFIDER, 22:22:31.071891, Informatica, 22:29:48.357404
Persona335, 22:22:17.004505, , DEFIDER, 22:22:33.093915, Informatica, 22:29:48.363640
Persona219, 22:22:16.979258, , Matematicas, 22:22:34.988082, Minas, 22:29:48.431276
Persona31, 22:22:16.928159, , DEFIDER, 22:22:16.928179, Minas, 22:29:48.420229
Persona122, 22:22:16.958310, , Quimica, 22:22:24.970868, Informatica, 22:29:58.378820
Persona390, 22:22:17.016101, , DEFIDER, 22:22:35.125368, Informatica, 22:29:58.388216
Persona207, 22:22:16.976883, , Fisica, 22:22:45.017929, Minas, 22:29:58.447311
Persona103, 22:22:16.953845, , Informatica, 22:22:46.987312, Minas, 22:29:58.442754
Persona430, 22:22:17.024327, , DEFIDER, 22:22:39.159487, Informatica, 22:30:08.404080
Persona434, 22:22:17.025151, , DEFIDER, 22:22:39.161049, Informatica, 22:30:08.412587
Persona138, 22:22:16.962825, , Informatica, 22:22:57.008918, Minas, 22:30:08.467340
Persona213, 22:22:16.978020, , Mecanica, 22:22:57.069784, Minas, 22:30:08.457369
Persona152, 22:22:16.966432, , Quimica, 22:22:32.995175, Informatica, 22:30:18.418952
Persona484, 22:22:17.035943, , DEFIDER, 22:22:43.195309, Informatica, 22:30:18.430517
Persona320, 22:22:17.000684, , Matematicas, 22:22:53.013675, Minas, 22:30:18.483885
Persona250, 22:22:16.985419, , Quimica, 22:23:05.076557, Minas, 22:30:18.481777
Persona107, 22:22:16.954919, , Minas, 22:22:36.951054, Informatica, 22:30:28.463094
Persona499, 22:22:17.039171, , DEFIDER, 22:22:45.214210, Informatica, 22:30:28.454479
Persona238, 22:22:16.983032, , Mecanica, 22:23:13.199076, Minas, 22:30:28.496798
Persona157, 22:22:16.967293, , Informatica, 22:23:17.093684, Minas, 22:30:28.502878
Persona172, 22:22:16.970155, , Mecanica, 22:22:49.049315, Informatica, 22:30:38.480947
Persona137, 22:22:16.962637, , Mecanica, 22:22:41.020510, Informatica, 22:30:38.472697
Persona284, 22:22:16.992408, , Mecanica, 22:23:29.309177, Minas, 22:30:38.517410
Persona326, 22:22:17.001914, , Quimica, 22:23:29.221386, Minas, 22:30:38.512732
Persona244, 22:22:16.984224, , Matematicas, 22:22:34.990273, Informatica, 22:30:48.488457
Persona252, 22:22:16.985802, , Matematicas, 22:22:34.991337, Informatica, 22:30:48.494520
Persona188, 22:22:16.973134, , Informatica, 22:23:37.183762, Minas, 22:30:48.526013
Persona305, 22:22:16.996846, , Mecanica, 22:23:37.357044, Minas, 22:30:48.522469
Persona227, 22:22:16.980842, , Fisica, 22:22:45.028017, Informatica, 22:30:58.506458
Persona176, 22:22:16.970859, , Mecanica, 22:22:57.056886, Informatica, 22:30:58.512999
Persona360, 22:22:17.009681, , Mecanica, 22:23:45.415901, Minas, 22:30:58.544086
Persona345, 22:22:17.006617, , Quimica, 22:23:45.332502, Minas, 22:30:58.541604
Persona134, 22:22:16.961862, , Minas, 22:22:56.997774, Informatica, 22:31:08.526682
Persona129, 22:22:16.960195, , Minas, 22:22:56.993535, Informatica, 22:31:08.520387
Persona203, 22:22:16.976107, , Informatica, 22:23:47.249661, Minas, 22:31:08.556725
Persona357, 22:22:17.009091, , Mecanica, 22:23:45.414076, Minas, 22:31:08.553955
Persona263, 22:22:16.988074, , Quimica, 22:23:05.114765, Informatica, 22:31:18.549203
Persona261, 22:22:16.987647, , Fisica, 22:22:59.088562, Informatica, 22:31:18.552024
Persona389, 22:22:17.015871, , Mecanica, 22:23:53.458471, Minas, 22:31:18.583861
Persona206, 22:22:16.976710, , Informatica, 22:23:57.265702, Minas, 22:31:18.590421
Persona151, 22:22:16.965969, , Minas, 22:23:17.136412, Informatica, 22:31:28.567185
Persona260, 22:22:16.987444, , Mecanica, 22:23:21.256685, Informatica, 22:31:28.573179
Persona426, 22:22:17.023482, , Fisica, 22:23:55.404535, Minas, 22:31:28.597896
Persona453, 22:22:17.029421, , Fisica, 22:23:55.436537, Minas, 22:31:28.602439
Persona399, 22:22:17.017923, , Matematicas, 22:23:11.055477, Informatica, 22:31:38.575561
Persona344, 22:22:17.006414, , Quimica, 22:23:37.309390, Informatica, 22:31:38.576503
Persona462, 22:22:17.031328, , Quimica, 22:24:25.478636, Minas, 22:31:38.615633
Persona457, 22:22:17.030274, , Quimica, 22:24:17.464919, Minas, 22:31:38.615084
Persona347, 22:22:17.007035, , Mecanica, 22:23:45.410141, Informatica, 22:31:48.600584
Persona348, 22:22:17.007241, , Quimica, 22:23:45.341389, Informatica, 22:31:48.595210
Persona274, 22:22:16.990301, , Informatica, 22:24:57.507600, Minas, 22:31:48.627758
Persona475, 22:22:17.034066, , Mecanica, 22:24:25.644519, Minas, 22:31:48.625376
Persona410, 22:22:17.020201, , Fisica, 22:23:41.371882, Informatica, 22:31:58.606088
Persona365, 22:22:17.010678, , Quimica, 22:23:53.364429, Informatica, 22:31:58.611270
Persona277, 22:22:16.990875, , Informatica, 22:25:07.522569, Minas, 22:31:58.635781
Persona287, 22:22:16.993083, , Informatica, 22:25:17.560345, Minas, 22:31:58.639515
Persona406, 22:22:17.019397, , Quimica, 22:24:01.409717, Informatica, 22:32:08.625792
Persona417, 22:22:17.021639, , Mecanica, 22:24:01.510900, Informatica, 22:32:08.627374
Persona324, 22:22:17.001470, , Informatica, 22:25:57.726504, Minas, 22:32:08.648013
Persona328, 22:22:17.002287, , Informatica, 22:26:07.737296, Minas, 22:32:08.648894
Persona415, 22:22:17.021235, , Quimica, 22:24:09.436504, Informatica, 22:32:18.647516
Persona195, 22:22:16.974554, , Minas, 22:24:07.386194, Informatica, 22:32:18.652305
Persona70, 22:22:16.943864, , Mecanica, 22:22:16.943885, Minas, 22:32:18.679222
Persona358, 22:22:17.009313, , Informatica, 22:26:17.762267, Minas, 22:32:18.677350
Persona476, 22:22:17.034275, , Fisica, 22:24:09.482014, Informatica, 22:32:28.664651
Persona465, 22:22:17.031933, , Quimica, 22:24:25.489706, Informatica, 22:32:28.666965
Persona71, 22:22:16.944278, , Mecanica, 22:22:16.944304, Minas, 22:32:28.689212
Persona382, 22:22:17.014492, , Informatica, 22:26:47.872812, Minas, 22:32:28.691198
Persona67, 22:22:16.942748, , Matematicas, 22:22:16.943329, Informatica, 22:32:38.688857
Persona64, 22:22:16.941302, , Matematicas, 22:22:16.942512, Informatica, 22:32:38.683490
Persona424, 22:22:17.023060, , Informatica, 22:27:38.000150, Minas, 22:32:38.712851
Persona396, 22:22:17.017289, , Informatica, 22:27:07.923906, Minas, 22:32:38.711399
Persona285, 22:22:16.992620, , Minas, 22:25:07.610790, Informatica, 22:32:48.698355
Persona50, 22:22:16.936257, , Matematicas, 22:22:16.936370, Informatica, 22:32:48.701962
Persona29, 22:22:16.927443, , Quimica, 22:22:16.927467, Minas, 22:32:48.725794
Persona459, 22:22:17.030695, , Informatica, 22:28:18.125546, Minas, 22:32:48.726865
Persona346, 22:22:17.006833, , Minas, 22:25:57.803320, Informatica, 22:32:58.717250
Persona330, 22:22:17.002746, , Minas, 22:25:47.767483, Informatica, 22:32:58.714747
Persona500, 22:22:17.039364, , Informatica, 22:28:48.210738, Minas, 22:32:58.740627
Persona489, 22:22:17.036996, , Informatica, 22:28:38.177530, Minas, 22:32:58.739083
Persona366, 22:22:17.010907, , Minas, 22:26:17.844113, Informatica, 22:33:08.735603
Persona356, 22:22:17.008856, , Minas, 22:26:17.841383, Informatica, 22:33:08.732876
Persona54, 22:22:16.938066, , Minas, 22:22:16.938092, DEFIDER, 22:33:23.765687
Persona381, 22:22:17.014291, , Minas, 22:26:37.897830, Informatica, 22:33:18.743294
Persona27, 22:22:16.926719, , Mecanica, 22:22:16.926744, Informatica, 22:33:18.741319
Persona61, 22:22:16.940299, , Minas, 22:22:16.940329, Quimica, 22:33:23.766632
Persona472, 22:22:17.033391, , Minas, 22:27:18.010055, Informatica, 22:33:28.746422
Persona101, 22:22:16.953097, , Fisica, 22:22:16.953117, Informatica, 22:33:28.748162
Persona40, 22:22:16.931406, , Minas, 22:22:16.931426, Mecanica, 22:33:33.769827
Persona51, 22:22:16.936694, , Minas, 22:22:16.936720, Quimica, 22:33:33.768506
Persona68, 22:22:16.942995, , Fisica, 22:22:16.943016, Informatica, 22:33:38.755950
Persona13, 22:22:16.919258, , Minas, 22:22:16.919284, Quimica, 22:33:43.777115
Persona32, 22:22:16.928524, , Informatica, 22:22:16.928545, DEFIDER, 22:34:13.791780
Persona37, 22:22:16.930284, , Informatica, 22:22:16.930305, Minas, 22:34:03.784030
Persona35, 22:22:16.929523, , Informatica, 22:22:16.929582, Fisica, 22:34:03.782825
Persona49, 22:22:16.935186, , Informatica, 22:22:16.935206, Fisica, 22:33:53.769445
Persona34, 22:22:16.929161, , Informatica, 22:22:16.929254, Mecanica, 22:34:13.792731
Persona23, 22:22:16.925067, , Informatica, 22:22:16.925093, Quimica, 22:34:23.795080
